,source,target,weight
15727,Hindi,Mauritius,1
15728,Hindi,Mumbai,2
15729,Hindi,New Zealand,1
15730,Hindi,Pakistan,1
15731,Hindi,Sanskrit,2
15732,Hindi,United Nations,1
15733,Hinduism,Akbar,1
15734,Hinduism,Brahman,3
15735,Hinduism,Buddhism,1
15736,Hinduism,God,4
15737,Hinduism,Hindi,1
15738,Hinduism,India,11
15739,Hinduism,Indonesia,2
15740,Hinduism,Indus Valley Civilization,1
15741,Hinduism,Mahabharata,1
15742,Hinduism,Mind,2
15743,Hinduism,Onion,1
15744,Hinduism,Rama,1
15745,Hinduism,Ramayana,1
15746,Hinduism,Religion,7
15747,Hinduism,Sanskrit,2
15748,Hinduism,Singapore,2
15749,Hinduism,United States,1
15750,Hip hop music,American popular music,1
15751,Hip hop music,Bob Dylan,5
15752,Hip hop music,Canada,1
15753,Hip hop music,France,2
15754,Hip hop music,Iran,1
15755,Hip hop music,Italy,1
15756,Hip hop music,Music,2
15757,Hip hop music,Music of the United States,33
15758,Hip hop music,Musical instrument,2
15759,Hip hop music,New York City,5
15760,Hip hop music,Philippines,1
15761,Hip hop music,Rapping,8
15762,Hip hop music,Reggaeton,1
15763,Hip hop music,Rhythm and blues,8
15764,Hip hop music,Seoul,1
15765,Hip hop music,South Africa,1
15766,Hip hop music,Synthesizer,4
15767,Hip hop music,The Beatles,2
15768,Hip hop music,Tupac Shakur,5
15769,Hip hop music,United Kingdom,2
15770,Hip hop music,United States,4
15771,Hippocrates,Ancient Greece,2
15772,Hippocrates,Aristotle,2
15773,Hippocrates,English language,1
15774,Hippocrates,Heat,1
15775,Hippocrates,Latin,1
15776,Hippocrates,Medicine,1
15777,Hippocrates,Middle Ages,2
15778,Hippocrates,Philosophy,1
15779,Hippocrates,Rome,1
15780,Hippopotamus,Africa,1
15781,Hippopotamus,Bacteria,1
15782,Hippopotamus,Carolus Linnaeus,1
15783,Hippopotamus,Elephant,1
15784,Hippopotamus,Europe,1
15785,Hippopotamus,Herbivore,1
15786,Hippopotamus,Lion,3
15787,Hippopotamus,Mammal,1
15788,Hippopotamus,North Africa,1
15789,Hippopotamus,Scientific classification,2
15790,Hippopotamus,Tsunami,1
15791,Hippopotamus,Uganda,1
15792,Hirohito,China,1
15793,Hirohito,Elizabeth II of the United Kingdom,1
15794,Hirohito,Europe,1
15795,Hirohito,United Kingdom,5
15796,Hirohito,Vatican City,1
15797,Hirohito,World War II,1
15798,History,15th century,3
15799,History,16th century,3
15800,History,Anthropology,6
15801,History,Archaeology,6
15802,History,Athens,1
15803,History,Fossil,1
15804,History,Genetics,1
15805,History,Human,13
15806,History,Humanities,5
15807,History,Jesus,1
15808,History,Language,2
15809,History,Latin,2
15810,History,Linguistics,1
15811,History,Mesopotamia,1
15812,History,Society,7
15813,History,Sub-Saharan Africa,3
15814,History,Thucydides,1
15815,History,Time,6
15816,History,Writing,4
15817,History of Anglo-Saxon England,4th century,1
15818,History of Anglo-Saxon England,5th century,1
15819,History of Anglo-Saxon England,Alfred the Great,1
15820,History of Anglo-Saxon England,Bede,1
15821,History of Anglo-Saxon England,British monarchy,2
15822,History of Anglo-Saxon England,Dark Ages,4
15823,History of Anglo-Saxon England,Edward the Confessor,2
15824,History of Anglo-Saxon England,England,5
15825,History of Anglo-Saxon England,English language,3
15826,History of Anglo-Saxon England,Medieval literature,1
15827,History of Anglo-Saxon England,Mercia,1
15828,History of Anglo-Saxon England,Middle Ages,1
15829,History of Anglo-Saxon England,Roman Britain,2
15830,History of Anglo-Saxon England,Rome,1
15831,History of Anglo-Saxon England,Wessex,2
15832,History of Arizona,Christianity,1
15833,History of Arizona,Phoenix Zoo,1
15834,History of Arizona,Socialism,1
15835,History of Arizona,United States,1
15836,History of Buddhism,Alexander the Great,1
15837,History of Buddhism,Buddha,1
15838,History of Buddhism,India,1
15839,History of Buddhism,Myanmar,1
15840,History of Buddhism,Religion,1
15841,History of Buddhism,Wikipedia Text of the GNU Free Documentation License,1
15842,History of Central Asia,Climate,1
15843,History of Central Asia,Europe,1
15844,History of Central Asia,People's Republic of China,1
15845,History of Central Asia,Soviet Union,1
15846,History of Earth,Ancient Egypt,1
15847,History of Earth,Archaeopteryx,1
15848,History of Earth,Chemical element,1
15849,History of Earth,Democracy,1
15850,History of Earth,Dinosaur,1
15851,History of Earth,Earth,2
15852,History of Earth,Eocene,1
15853,History of Earth,European Union,2
15854,History of Earth,Evolution,1
15855,History of Earth,Human,2
15856,History of Earth,Ice age,2
15857,History of Earth,Moon,1
15858,History of Earth,Paleocene,1
15859,History of Earth,Plate tectonics,1
15860,History of Earth,Reptile,2
15861,History of Earth,South America,2
15862,History of Earth,Triassic,1
15863,History of Earth,Universe,1
15864,History of Earth,War,1
15865,History of Earth,Water,1
15866,History of Earth,World War II,1
15867,History of Greece,Ancient Greece,2
15868,History of Greece,Battle of Marathon,1
15869,History of Greece,Europe,2
15870,History of Greece,Greece,1
15871,History of Greece,Greek mythology,6
15872,History of Greece,Islam,1
15873,History of Greece,Mummy,1
15874,History of Greece,North America,2
15875,History of Greece,Roman Empire,2
15876,History of Greece,World War I,2
15877,History of Greenland,Denmark,1
15878,History of Greenland,Nuclear weapon,1
15879,History of Greenland,Plutonium,2
15880,History of Greenland,United States,2
15881,History of Greenland,World War II,2
15882,History of New Jersey,American Civil War,1
15883,History of New Jersey,North Africa,1
15884,History of New Jersey,World War II,1
15885,History of Puerto Rico,Europe,1
15886,History of Puerto Rico,Puerto Rico,1
15887,History of Puerto Rico,Royal Navy,1
15888,History of Puerto Rico,South America,1
15889,History of Russia,Christianity,1
15890,History of Russia,England,1
15891,History of Russia,Pacific Ocean,1
15892,History of Russia,United States,2
15893,History of Russia,World War I,1
15894,History of Russia,Yuri Gagarin,1
15895,History of South Africa,Anthropology,1
15896,History of South Africa,Atlantic Ocean,1
15897,History of South Africa,Australia,1
15898,History of South Africa,Cattle,1
15899,History of South Africa,Iron,1
15900,History of South Africa in the apartheid era,Africa,1
15901,History of South Africa in the apartheid era,British Empire,1
15902,History of South Africa in the apartheid era,Kenya,1
15903,History of South Africa in the apartheid era,South Africa,1
15904,History of South Africa in the apartheid era,Tuberculosis,1
15905,History of South Carolina,Mercantilism,1
15906,History of computing hardware,Abacus,1
15907,History of computing hardware,Central processing unit,3
15908,History of computing hardware,Computer,5
15909,History of computing hardware,Computer science,1
15910,History of computing hardware,History of the Internet,1
15911,History of computing hardware,Integrated circuit,3
15912,History of computing hardware,Soviet Union,1
15913,History of computing hardware,University of Cambridge,1
15914,History of democracy,19th century,1
15915,History of democracy,Alexander the Great,1
15916,History of democracy,French Revolution,1
15917,History of democracy,India,1
15918,History of democracy,Sumer,2
15919,History of democracy,Tribe,1
15920,History of nuclear weapons,21st century,1
15921,History of nuclear weapons,Nuclear weapon,2
15922,History of nuclear weapons,United Kingdom,1
15923,History of nuclear weapons,United States,1
15924,History of nuclear weapons,World War II,1
15925,History of post-Soviet Russia,Khazars,1
15926,History of post-Soviet Russia,People's Republic of China,1
15927,History of post-Soviet Russia,Russia,1
15928,History of science,Alchemy,1
15929,History of science,Astronomy,1
15930,History of science,Capitalism,1
15931,History of science,Computer science,1
15932,History of science,Culture,1
15933,History of science,DNA,1
15934,History of science,Earth,1
15935,History of science,England,1
15936,History of science,Heliocentrism,1
15937,History of science,Linguistics,1
15938,History of science,Matrix (mathematics),1
15939,History of science,Meteorology,2
15940,History of science,Philosophy,1
15941,History of science,Science,6
15942,History of slavery,Abraham Lincoln,1
15943,History of slavery,African slave trade,1
15944,History of slavery,American Civil War,1
15945,History of slavery,Canada,1
15946,History of slavery,Central African Republic,1
15947,History of slavery,Charles I of England,1
15948,History of slavery,Frederick Douglass,1
15949,History of slavery,Hungary,1
15950,History of slavery,London,1
15951,History of slavery,Middle East,1
15952,History of slavery,South Africa,1
15953,History of slavery,United States,5
15954,History of the Internet,California,1
15955,History of the Internet,Computer,1
15956,History of the Internet,Europe,1
15957,History of the Internet,Google,1
15958,History of the Internet,Infrastructure,1
15959,History of the Internet,Microsoft,2
15960,History of the Internet,Radio,1
15961,History of the Internet,Sweden,1
15962,History of the Internet,Telecommunication,1
15963,History of the Internet,Television,2
15964,History of the Internet,World Wide Web,3
15965,History of the world,Ancient Egypt,1
15966,History of the world,China,2
15967,History of the world,England,1
15968,History of the world,Genetics,1
15969,History of the world,History,1
15970,History of the world,Holy Roman Empire,1
15971,History of the world,Human,4
15972,History of the world,Irrigation,1
15973,History of the world,Mediterranean Sea,1
15974,History of the world,Middle East,1
15975,History of the world,Nature,2
15976,History of the world,North America,2
15977,History of the world,Oceania,1
15978,History of the world,Paleontology,1
15979,History of the world,Space exploration,1
15980,History of the world,Stone Age,1
15981,History of the world,Technology,1
15982,History of the world,Transport,1
15983,History of the world,Weather,1
15984,History of the world,Winston Churchill,1
15985,Ho Chi Minh,Communism,1
15986,Ho Chi Minh,English language,2
15987,Ho Chi Minh,United States,2
15988,Ho Chi Minh City,Chinese language,1
15989,Ho Chi Minh City,City,1
15990,Ho Chi Minh City,France,2
15991,Ho Chi Minh City,Ho Chi Minh,2
15992,Ho Chi Minh City,United States,1
15993,Ho Chi Minh City,Vietnam,1
15994,Ho Chi Minh City,Vietnam War,1
15995,Holkham Hall,Matthew Brettingham,1
15996,Hollandic,French language,1
15997,Holmium,Earth,1
15998,Holy Roman Empire,15th century,6
15999,Holy Roman Empire,19th century,2
16000,Holy Roman Empire,Antwerp,1
16001,Holy Roman Empire,Austria,1
16002,Holy Roman Empire,Aztec,1
16003,Holy Roman Empire,Bologna,2
16004,Holy Roman Empire,Byzantine Empire,2
16005,Holy Roman Empire,Charlemagne,1
16006,Holy Roman Empire,"Charles V, Holy Roman Emperor",2
16007,Holy Roman Empire,Country,2
16008,Holy Roman Empire,Croatia,1
16009,Holy Roman Empire,Czech Republic,1
16010,Holy Roman Empire,Dutch language,3
16011,Holy Roman Empire,Europe,2
16012,Holy Roman Empire,France,5
16013,Holy Roman Empire,Franks,1
16014,Holy Roman Empire,German language,3
16015,Holy Roman Empire,Germany,9
16016,Holy Roman Empire,Italy,7
16017,Holy Roman Empire,Jew,1
16018,Holy Roman Empire,Johannes Gutenberg,2
16019,Holy Roman Empire,Martin Luther,1
16020,Holy Roman Empire,Medieval literature,1
16021,Holy Roman Empire,Middle Ages,1
16022,Holy Roman Empire,Milan,2
16023,Holy Roman Empire,Napoleon I of France,1
16024,Holy Roman Empire,Napoleonic Wars,2
16025,Holy Roman Empire,Ottoman Empire,1
16026,Holy Roman Empire,Pope,3
16027,Holy Roman Empire,Roman Catholic Church,6
16028,Holy Roman Empire,Roman Empire,1
16029,Holy Roman Empire,Scotland in the High Middle Ages,1
16030,Holy Roman Empire,Slovenia,1
16031,Holy Roman Empire,Switzerland,1
16032,Holy Roman Empire,United States,5
16033,Holy Roman Empire,Western Roman Empire,2
16034,Holy Roman Empire,Wolfgang Amadeus Mozart,1
16035,Homer,19th century,2
16036,Homer,Achilles,1
16037,Homer,Ancient Greece,2
16038,Homer,Art,1
16039,Homer,Athens,1
16040,Homer,Drama,1
16041,Homer,Greece,1
16042,Homer,Italy,1
16043,Homer,Literature,1
16044,Homer,Mythology,1
16045,Homer,Odyssey,5
16046,Homer,Religion,1
16047,Homer,Roman Empire,1
16048,Homer,Trojan War,4
16049,Homer,William Shakespeare,9
16050,Homestar Runner,Buffy the Vampire Slayer,2
16051,Homestar Runner,DVD,1
16052,Homestar Runner,Halloween,3
16053,Homestar Runner,IPod,2
16054,Homo floresiensis,Asia,2
16055,Honduras,Atlantic Ocean,1
16056,Honduras,Caribbean Sea,1
16057,Honduras,Cayman Islands,1
16058,Honduras,Folklore,1
16059,Honduras,Ottoman Empire,1
16060,Honduras,Ronald Reagan,1
16061,Honduras,Spain,1
16062,Honduras,Whale shark,1
16063,Honey,Aphid,1
16064,Honey,Bread,1
16065,Honey,Ecology,1
16066,Honey,Europe,1
16067,Honey,Flower,1
16068,Honey,Fruit,2
16069,Honey,Pollution,2
16070,Honey,Seed,1
16071,Honey,Tea,1
16072,Honey,United States,2
16073,Honey,Vegetable,1
16074,Honey bee,Bee,3
16075,Honey bee,Beekeeping,1
16076,Honey bee,Europe,1
16077,Honey bee,Philippines,1
16078,Honey bee,Protein,2
16079,Hong Kong,Asia,1
16080,Hong Kong,Beijing,2
16081,Hong Kong,Bridge,1
16082,Hong Kong,Buddha,1
16083,Hong Kong,China,2
16084,Hong Kong,England,1
16085,Hong Kong,English language,1
16086,Hong Kong,Food,1
16087,Hong Kong,Indonesia,1
16088,Hong Kong,Japan,2
16089,Hong Kong,Macau,1
16090,Hong Kong,Olympic Games,1
16091,Hong Kong,Pacific Ocean,1
16092,Hong Kong,People's Republic of China,6
16093,Hong Kong,Singapore,1
16094,Hong Kong,South Korea,1
16095,Hong Kong,The Rolling Stones,1
16096,Hong Kong,United Kingdom,4
16097,Hong Kong,United Nations,1
16098,Hoover Dam,California,1
16099,Hoover Dam,El Niño-Southern Oscillation,1
16100,Hoover Dam,Harry S. Truman,1
16101,Hoover Dam,Lake Mead,2
16102,Hoover Dam,"Las Vegas, Nevada",1
16103,Hoover Dam,President of the United States,1
16104,Hopman Cup,Australian Open,1
16105,Hopman Cup,Diamond,1
16106,"Horatio Nelson, 1st Viscount Nelson",England,1
16107,"Horatio Nelson, 1st Viscount Nelson",United Kingdom,1
16108,Horn of Africa,Africa,1
16109,Horn of Africa,Banana,1
16110,Horn of Africa,Bird,1
16111,Horn of Africa,Black Rhinoceros,3
16112,Horn of Africa,East Africa,1
16113,Horn of Africa,Ethiopia,1
16114,Horn of Africa,Fish,1
16115,Horn of Africa,Germany,1
16116,Horn of Africa,Somalia,3
16117,Horn of Africa,Sudan,1
16118,Horn of Africa,United States,2
16119,Horse,Agriculture,4
16120,Horse,Animal,3
16121,Horse,Asia,1
16122,Horse,Chordate,1
16123,Horse,Egypt,1
16124,Horse,Family,1
16125,Horse,Food,2
16126,Horse,Hampshire,1
16127,Horse,Herbivore,8
16128,Horse,Human,1
16129,Horse,Mammal,9
16130,Horse,Milk,3
16131,Horse,Mythology,2
16132,Horse,Pony,1
16133,Horse,Scientific classification,1
16134,Horse,Television,1
16135,Horse,Transport,3
16136,Horse,United Kingdom,3
16137,Horse,United States,3
16138,Hot air balloon,Airship,4
16139,Hot air balloon,American Civil War,1
16140,Hot air balloon,China,1
16141,Hot air balloon,France,1
16142,Hot air balloon,Paris,1
16143,Hot air balloon,United Kingdom,1
16144,Hot air balloon,Wind,2
16145,House,Business,1
16146,House,Economics,1
16147,House,Employment,1
16148,House,Family,1
16149,House,Heat,1
16150,House,India,1
16151,House,Natural disaster,1
16152,House,Theatre,1
16153,House,United States,1
16154,House,Wind,1
16155,House Martin,Bird migration,1
16156,House Martin,House Sparrow,1
16157,House Sparrow,Bird,4
16158,House Sparrow,Sparrow,5
16159,House Sparrow,United States,1
16160,House of Lords,Acts of Union 1707,1
16161,House of Lords,Archbishop of Canterbury,3
16162,House of Lords,British House of Commons,1
16163,House of Lords,Canadian Senate,1
16164,House of Lords,Church of England,1
16165,House of Lords,Northern Ireland,1
16166,House of Lords,Oliver Cromwell,2
16167,House of Lords,Palace of Westminster,2
16168,House of Lords,Parliament of the United Kingdom,3
16169,House of Lords,Privy Council of the United Kingdom,3
16170,House of Lords,United Kingdom,2
16171,House of Lords,Wars of the Roses,2
16172,House of Lords,World War II,1
16173,Household income in the United States,California,1
16174,Household income in the United States,Denmark,1
16175,Household income in the United States,Minnesota,1
16176,Household income in the United States,Oregon,1
16177,Household income in the United States,Poverty,5
16178,Household income in the United States,United States,4
16179,Household income in the United States,West Virginia,1
16180,Household income in the United States,Wikipedia Text of the GNU Free Documentation License,1
16181,"Houston, Texas",Chinese language,1
16182,"Houston, Texas",Education,2
16183,"Houston, Texas",Engineering,1
16184,"Houston, Texas",Florida,1
16185,"Houston, Texas",Forest,1
16186,"Houston, Texas",Galveston Hurricane of 1900,1
16187,"Houston, Texas",Geology,2
16188,"Houston, Texas",George W. Bush,1
16189,"Houston, Texas",Global city,3
16190,"Houston, Texas",Gulf of Mexico,2
16191,"Houston, Texas",Latin America,1
16192,"Houston, Texas",Moon,1
16193,"Houston, Texas",Southern United States,5
16194,"Houston, Texas",Space Shuttle Challenger disaster,1
16195,"Houston, Texas",Tennis Masters Cup,1
16196,"Houston, Texas",Time zone,1
16197,"Houston, Texas",U.S. state,2
16198,"Houston, Texas",United States,4
16199,Hovercraft,Boat,4
16200,Hovercraft,Emanuel Swedenborg,1
16201,Hovercraft,English Channel,2
16202,Hovercraft,Middle East,2
16203,Hovercraft,Royal Navy,1
16204,Hovercraft,Ship,1
16205,Hovercraft,Transport,1
16206,Hovercraft,United Kingdom,1
16207,Howards End,Country,1
16208,Howards End,England,1
16209,Howards End,English language,1
16210,Howland Island,19th century,1
16211,Howland Island,Baker Island,1
16212,Howland Island,Cat,1
16213,Howland Island,Pacific Ocean,1
16214,Howland Island,United States,3
16215,Hubbard Glacier,Canada,2
16216,Hubbard Glacier,Glacier,1
16217,Hubbard Glacier,U.S. state,1
16218,Hubble Deep Field,Earth,3
16219,Hubble Deep Field,Galaxy,2
16220,Hubble Deep Field,Hubble Space Telescope,3
16221,Hubble Deep Field,Milky Way,1
16222,Hubble Deep Field,Moon,1
16223,Hubble Deep Field,Star,1
16224,Hubble Deep Field,Universe,1
16225,Hubble Space Telescope,Aluminium,1
16226,Hubble Space Telescope,Andromeda Galaxy,1
16227,Hubble Space Telescope,Astronomy,1
16228,Hubble Space Telescope,Cat's Eye Nebula,1
16229,Hubble Space Telescope,Comet Shoemaker-Levy 9,1
16230,Hubble Space Telescope,Earth,3
16231,Hubble Space Telescope,Europe,1
16232,Hubble Space Telescope,European Space Agency,4
16233,Hubble Space Telescope,Extrasolar planet,3
16234,Hubble Space Telescope,Galaxy,2
16235,Hubble Space Telescope,Glasses,1
16236,Hubble Space Telescope,Hubble Deep Field,1
16237,Hubble Space Telescope,International Space Station,1
16238,Hubble Space Telescope,Milky Way,1
16239,Hubble Space Telescope,Munich,2
16240,Hubble Space Telescope,Nitrogen,1
16241,Hubble Space Telescope,Orion Nebula,4
16242,Hubble Space Telescope,Space Shuttle Challenger disaster,1
16243,Hubble Space Telescope,Space Shuttle Columbia,1
16244,Hubble Space Telescope,Space Shuttle Columbia disaster,1
16245,Hubble Space Telescope,Spherical aberration,3
16246,Hubble Space Telescope,Star,2
16247,Hubble Space Telescope,Sun,3
16248,Hubble Space Telescope,Telescope,1
16249,Hubble Space Telescope,Ultraviolet,1
16250,Hubble Space Telescope,United States,1
16251,Hubble Space Telescope,United States Congress,2
16252,Hubble Space Telescope,World War II,3
16253,Hubble's law,Albert Einstein,2
16254,Hubble's law,Big Bang,4
16255,Hubble's law,Special relativity,1
16256,Hubble's law,Speed of light,1
16257,Hubble's law,Universe,1
16258,Hudson Bay,Atlantic Ocean,1
16259,Hudson Bay,Canada,3
16260,Hugo Wolf,Austria,2
16261,Human,AIDS,8
16262,Human,Aesthetics,6
16263,Human,Africa,19
16264,Human,Agriculture,9
16265,Human,Anatomy,4
16266,Human,Animal,17
16267,Human,Anthropology,2
16268,Human,Ape,11
16269,Human,Archaeology,2
16270,Human,Architecture,2
16271,Human,Arctic,1
16272,Human,Art,7
16273,Human,Asia,4
16274,Human,Biology,1
16275,Human,Bird,1
16276,Human,Bonobo,6
16277,Human,Brain,26
16278,Human,Cameroon,1
16279,Human,Carnivore,6
16280,Human,Carolus Linnaeus,1
16281,Human,Cell (biology),11
16282,Human,Cereal,1
16283,Human,Chad,1
16284,Human,Chimpanzee,17
16285,Human,Chordate,8
16286,Human,Christianity,2
16287,Human,City,2
16288,Human,Civilization,8
16289,Human,Clothing,7
16290,Human,Color,1
16291,Human,Communication,17
16292,Human,Communism,1
16293,Human,Conflict,4
16294,Human,Crime,5
16295,Human,Culture,31
16296,Human,DNA,6
16297,Human,Dance,1
16298,Human,Democracy,1
16299,Human,Dolphin,1
16300,Human,Dove,2
16301,Human,Drama,3
16302,Human,Earth,6
16303,Human,Economics,3
16304,Human,Elephant,1
16305,Human,Emotion,12
16306,Human,English language,3
16307,Human,Ethics,12
16308,Human,Ethnic group,8
16309,Human,Eukaryote,5
16310,Human,Euro,1
16311,Human,Europe,6
16312,Human,Eye,2
16313,Human,Family,11
16314,Human,Fiction,2
16315,Human,Folklore,2
16316,Human,Genetics,7
16317,Human,Geography,1
16318,Human,God,1
16319,Human,Gorilla,5
16320,Human,Government,6
16321,Human,HIV,1
16322,Human,Herbivore,8
16323,Human,Hinduism,1
16324,Human,History,2
16325,Human,Humanism,1
16326,Human,International Red Cross and Red Crescent Movement,1
16327,Human,International Space Station,2
16328,Human,Islam,1
16329,Human,Jewellery,1
16330,Human,Language,18
16331,Human,Latin,4
16332,Human,Leonardo da Vinci,1
16333,Human,Life,2
16334,Human,Linguistics,1
16335,Human,List of circulating currencies,1
16336,Human,Literature,15
16337,Human,Logic,1
16338,Human,Love,13
16339,Human,M25 motorway,1
16340,Human,Mammal,54
16341,Human,Manufacturing,1
16342,Human,Max Weber,2
16343,Human,Metallurgy,2
16344,Human,Military dictatorship,2
16345,Human,Milky Way,1
16346,Human,Mind,8
16347,Human,Monaco,1
16348,Human,Monarchy,1
16349,Human,Money,4
16350,Human,Music,26
16351,Human,Mythology,13
16352,Human,New York City,1
16353,Human,Oceania,1
16354,Human,Organism,5
16355,Human,Organization,1
16356,Human,Philosophy,4
16357,Human,Pigment,4
16358,Human,Politics,3
16359,Human,Pollution,2
16360,Human,Protein,1
16361,Human,Psychology,3
16362,Human,Pupil,1
16363,Human,Race,7
16364,Human,Religion,11
16365,Human,Science,31
16366,Human,Scientific classification,5
16367,Human,Sigmund Freud,1
16368,Human,Sleep,6
16369,Human,Society,31
16370,Human,Sociology,2
16371,Human,Space exploration,2
16372,Human,Space station,1
16373,Human,Stem cell,1
16374,Human,Swaziland,3
16375,Human,Technology,35
16376,Human,Transport,3
16377,Human,Uganda,1
16378,Human,Ultraviolet,3
16379,Human,United Nations,10
16380,Human,United States dollar,2
16381,Human,Vertebrate,3
16382,Human,Vitamin C,1
16383,Human,Water,1
16384,Human,Water resources,5
16385,Human,Weapon,2
16386,Human,Whale song,1
16387,Human,World War II,2
16388,Human,Writing,1
16389,Human,Yellowstone National Park,1
16390,Human dignity,Human rights,2
16391,Human dignity,Immanuel Kant,9
16392,Human dignity,Wikipedia Text of the GNU Free Documentation License,1
16393,Human rights,Civil rights,3
16394,Human rights,Confucius,1
16395,Human rights,Costa Rica,1
16396,Human rights,Democracy,1
16397,Human rights,Education,3
16398,Human rights,Ethics,1
16399,Human rights,Henry David Thoreau,1
16400,Human rights,Human dignity,6
16401,Human rights,Humanism,1
16402,Human rights,International human rights instruments,4
16403,Human rights,International law,3
16404,Human rights,Iran,1
16405,Human rights,John Locke,1
16406,Human rights,Mesopotamia,1
16407,Human rights,Nationality,5
16408,Human rights,North America,1
16409,Human rights,Norway,1
16410,Human rights,People's Republic of China,1
16411,Human rights,Political science,1
16412,Human rights,Pope,1
16413,Human rights,Poverty,5
16414,Human rights,Race,3
16415,Human rights,Religion,5
16416,Human rights,Slavery,6
16417,Human rights,Trade union,1
16418,Human rights,United Nations,12
16419,Human rights,United States,1
16420,Human rights,United States Bill of Rights,1
16421,Human rights,United States Declaration of Independence,1
16422,Human rights,Women's rights,3
16423,Humanism,Agnosticism,1
16424,Humanism,Albert Einstein,3
16425,Humanism,Animal rights,3
16426,Humanism,Atheism,3
16427,Humanism,Education,4
16428,Humanism,Ethics,3
16429,Humanism,Europe,1
16430,Humanism,Galileo Galilei,1
16431,Humanism,Human rights,5
16432,Humanism,Italy,2
16433,Humanism,Literature,1
16434,Humanism,Mysticism,2
16435,Humanism,Philosophy,2
16436,Humanism,Religion,1
16437,Humanism,Renaissance,2
16438,Humanism,Sistine Chapel ceiling,1
16439,Humanism,Star Trek,1
16440,Humanities,Animal,1
16441,Humanities,Carl Jung,1
16442,Humanities,Christianity,1
16443,Humanities,Culture,1
16444,Humanities,Film,1
16445,Humanities,History,2
16446,Humanities,Human,2
16447,Humanities,Humanism,1
16448,Humanities,Literature,1
16449,Humanities,Logic,1
16450,Humanities,Mesopotamia,1
16451,Humanities,Philosophy,1
16452,Humanities,Religion,2
16453,Humanities,Roman Empire,1
16454,Humanities,Society,3
16455,Humanities,Sport,1
16456,Humanities,United States,2
16457,Humanities,University of Cambridge,2
16458,Humanities,Visual arts,1
16459,Humour,Aristotle,1
16460,Humour,Cattle,1
16461,Humour,Communication,6
16462,Humour,Culture,6
16463,Humour,Emotion,1
16464,Humour,Isaac Asimov,1
16465,Humour,Juice,2
16466,Humour,Newspaper,4
16467,Humpback Whale,Animal,1
16468,Humpback Whale,Fish,3
16469,Humpback Whale,Mammal,1
16470,Humpback Whale,Ocean,1
16471,Humpback Whale,Pacific Ocean,2
16472,Humpback Whale,Sydney,1
16473,Humpback Whale,Whale,1
16474,Humphry Davy,Hydrogen,1
16475,Humphry Davy,Isaac Newton,1
16476,Humphry Davy,Michael Faraday,2
16477,Humphry Davy,United Kingdom,3
16478,Humus,Fertilizer,2
16479,Humus,Irrigation,2
16480,Humus,Plant,1
16481,Humus,Rain,1
16482,Humus,Soil,2
16483,Humus,Soils retrogression and degradation,1
16484,Humus,Wood,1
16485,Hundred Years' War,Black Death,1
16486,Hundred Years' War,Edward III of England,1
16487,Hundred Years' War,English Channel,1
16488,Hundred Years' War,English peasants' revolt of 1381,1
16489,Hundred Years' War,Firearm,1
16490,Hundred Years' War,France,1
16491,Hundred Years' War,Henry IV of England,1
16492,Hundred Years' War,Joan of Arc,2
16493,Hundred Years' War,Napoleonic Wars,1
16494,Hundred Years' War,Nationalism,1
16495,Hundred Years' War,Paris,1
16496,Hundred Years' War,Salt,1
16497,Hundred Years' War,Western Roman Empire,2
16498,Hungary,17th century,1
16499,Hungary,Bronze Age,1
16500,Hungary,Budapest,1
16501,Hungary,Charlemagne,1
16502,Hungary,Europe,3
16503,Hungary,European Union,3
16504,Hungary,Folk music,1
16505,Hungary,German language,1
16506,Hungary,John von Neumann,1
16507,Hungary,Krypton,1
16508,Hungary,Nazi Germany,1
16509,Hungary,Ottoman Empire,1
16510,Hungary,Renaissance,2
16511,Hungary,Slovakia,1
16512,Hungary,Time zone,1
16513,Hungary,Water polo,1
16514,Hungary,World War I,2
16515,Hungary,World War II,1
16516,Hunger,Animal,4
16517,Hunger,Famine,6
16518,Hunger,Poverty,1
16519,Huntington's disease,Brain,1
16520,Huntington's disease,Drosophila melanogaster,2
16521,Huntington's disease,Language,4
16522,Huntington's disease,Middle Ages,2
16523,Huntington's disease,Pneumonia,1
16524,Huntington's disease,Vertebrate,1
16525,Hurricane Alex (2004),2004 Atlantic hurricane season,1
16526,Hurricane Alex (2004),Denmark,1
16527,Hurricane Alex (2004),Florida,1
16528,Hurricane Alex (2004),The Bahamas,1
16529,Hurricane Andrew,2005 Atlantic hurricane season,1
16530,Hurricane Andrew,Florida,1
16531,Hurricane Andrew,George H. W. Bush,1
16532,Hurricane Andrew,Hurricane Camille,2
16533,Hurricane Andrew,"Miami, Florida",1
16534,Hurricane Andrew,Tropical cyclone,2
16535,Hurricane Andrew,United States,1
16536,Hurricane Camille,2005 Atlantic hurricane season,2
16537,Hurricane Camille,20th century,1
16538,Hurricane Camille,Atlantic Ocean,1
16539,Hurricane Camille,Hurricane Mitch,1
16540,Hurricane Camille,Tropical cyclone,1
16541,Hurricane Camille,United States,1
16542,Hurricane Charley,2004 Atlantic hurricane season,2
16543,Hurricane Charley,George W. Bush,1
16544,Hurricane Charley,United States,1
16545,Hurricane David,Caribbean Sea,1
16546,Hurricane Dennis,Fidel Castro,2
16547,Hurricane Dennis,Florida,2
