node,in_degree,out_degree,pagerank,betweenness_centrality,closeness_centrality
Anglicanism,20,31,0.00031919653293554395,0.0010347485781664377,0.4096881741517945
Walt Whitman,9,11,0.00013730339185971972,0.0002034538278082983,0.37738235028452716
Poetry of the United States,14,24,0.00019318522056798948,0.00036583074734188536,0.3741715923338707
French Revolution,47,28,0.0006793317510769975,0.00043314209685813747,0.39389082681248233
Age of Enlightenment,48,47,0.0006550944166233617,0.0009304988012345787,0.3974505327245053
David Hume,13,22,0.00022026770640811656,6.165828557564526e-05,0.33865607522088026
Philosophy,145,93,0.0017773021683077288,0.004986604558405016,0.3997703569036456
Fyodor Dostoevsky,8,13,0.00012194276659712735,0.00033188858837204034,0.33187703550718883
Constitutional monarchy,45,33,0.0007684811737199476,0.0006405723079605643,0.4089663273296789
Government,89,42,0.0011847486451763997,0.0011839253989490669,0.4079679718777463
Anarchism,28,29,0.0003677116573296865,0.0003067783542220745,0.35436810856658185
Henry David Thoreau,8,11,0.00011436001728172104,3.131360910768207e-05,0.3167551175132676
2004 Atlantic hurricane season,7,19,0.0001100894571819865,0.00029475079039475565,0.31825106642291284
U.S. state,64,47,0.0007640102339290306,0.0013969713040290124,0.3928168484392629
Fine art,15,16,0.00022686251023105832,0.00015130326163175485,0.3762269248086448
Visual arts,12,15,0.00016043033988426934,5.099519076493059e-05,0.3235749690210657
Painting,41,53,0.0005709608866038258,0.0012435500759781742,0.3759899208063355
Drawing,14,13,0.00021636903557070329,0.0001437573075352073,0.3590580955654864
El Niño-Southern Oscillation,13,7,0.00016966077573104583,2.9743929893054315e-05,0.3383269900396793
Fertilizer,34,29,0.0004781057744612475,0.0004211167864385023,0.35373804080941496
Molybdenum,9,10,0.00011769814268695495,3.221505564540932e-05,0.30904652710999336
Periodic table,103,132,0.0011250821490699336,0.006681701532204126,0.352990875295708
Chromium,18,29,0.0002505329726395571,0.0003324682534257468,0.3496234309623431
Oxygen,116,50,0.0013909925607650338,0.0027080211334812136,0.3894118743592134
Chemical element,121,64,0.0014179262295491825,0.00230179183792119,0.3682355014983254
Hurricane Ivan,11,12,0.0001628103303091699,7.982930113683586e-05,0.3709491254550297
Tropical cyclone,75,60,0.0009356092475080957,0.0029763875647364716,0.3755168074779795
Gravitation,77,35,0.0010282963911181688,0.0021414882859065835,0.4087262766581882
Albert Einstein,76,80,0.0009581741200448238,0.00402586147703872,0.4120315581854043
Atom,51,38,0.0007196052665902425,0.0008649037016987273,0.36154378677743165
Global warming,57,42,0.000759584551348207,0.0010626577131665372,0.3770417832325602
Climate change,41,38,0.0005342438184810757,0.0008003075330610287,0.3645724258289703
Retreat of glaciers since 1850,12,24,0.00019572089980660138,0.00017694076016814956,0.34889352818371605
Ice age,58,33,0.0007172630001389079,0.0011161173983500019,0.38966610706957655
